Date,SPY,IWD,MTUM,QUAL,USMV,VIX
2013-08-31,131.2306671142578,63.76945495605469,45.12082290649414,40.70744705200195,25.579652786254883,17.010000228881836
2013-09-30,135.38363647460938,65.38874053955078,46.480224609375,42.257537841796875,26.228696823120117,16.600000381469727
2013-10-31,141.65280151367188,68.25614166259766,49.06821060180664,44.31299591064453,27.46790313720703,13.75
2013-11-30,145.85110473632812,70.11463928222656,50.612388610839844,46.13544464111328,27.830982208251953,13.699999809265137
2013-12-31,149.63250732421875,71.86331176757812,51.967559814453125,47.190635681152344,28.185270309448242,13.720000267028809
2014-01-31,144.35818481445312,69.283935546875,50.76424026489258,45.21183395385742,27.32781410217285,18.40999984741211
2014-02-28,150.92880249023438,72.25249481201172,54.17506408691406,47.42443084716797,28.52666473388672,14.0
2014-03-31,152.1808319091797,74.00713348388672,52.32292938232422,47.20210647583008,28.768274307250977,13.880000114440918
2014-04-30,153.2387237548828,74.6820297241211,51.80265426635742,47.55405044555664,29.151323318481445,13.40999984741211
2014-05-31,156.79481506347656,75.73268127441406,53.90980529785156,48.66015625,29.486488342285156,11.399999618530273
2014-06-30,160.03184509277344,77.66532135009766,55.02679443359375,48.946529388427734,29.85338592529297,11.569999694824219
2014-07-31,157.88137817382812,76.33875274658203,54.452674865722656,48.57644271850586,29.428281784057617,16.950000762939453
2014-08-31,164.11196899414062,79.12158203125,56.95787048339844,50.687721252441406,30.59931182861328,12.09000015258789
2014-09-30,161.84783935546875,77.51934051513672,56.578582763671875,50.296512603759766,30.359535217285156,16.309999465942383
2014-10-31,165.65953063964844,79.15351867675781,57.87814712524414,51.63808822631836,31.64869499206543,14.029999732971191
2014-11-30,170.21047973632812,80.89614868164062,60.04984664916992,52.81935119628906,32.77669143676758,13.329999923706055
2014-12-31,169.77871704101562,81.33090209960938,59.5657958984375,52.5240364074707,32.789119720458984,19.200000762939453
2015-01-31,164.74830627441406,78.12128448486328,59.154457092285156,51.61277389526367,32.627140045166016,20.969999313354492
2015-02-28,174.00790405273438,81.8450698852539,62.36641311645508,54.717811584472656,33.817848205566406,13.34000015258789
2015-03-31,171.27500915527344,80.69991302490234,61.70978927612305,53.85883331298828,33.564857482910156,15.289999961853027
2015-04-30,172.9592742919922,81.4123306274414,61.06898498535156,53.95197296142578,33.36960220336914,14.550000190734863
2015-05-31,175.18287658691406,82.42224884033203,63.12306213378906,54.77326583862305,33.71126174926758,13.84000015258789
2015-06-30,171.62451171875,80.75471496582031,62.90538787841797,53.761962890625,32.95903778076172,18.229999542236328
2015-07-31,175.5013885498047,81.13282775878906,65.29161071777344,55.310184478759766,34.28327560424805,12.119999885559082
2015-08-31,164.80459594726562,76.2921371459961,61.37323760986328,52.31583023071289,32.73017120361328,28.43000030517578
2015-09-30,160.5994110107422,73.94705200195312,60.2136116027832,51.637657165527344,32.52653503417969,24.5
2015-10-31,174.25999450683594,79.50418853759766,64.61860656738281,56.105220794677734,34.47368621826172,15.069999694824219
2015-11-30,174.89694213867188,79.86090087890625,64.96290588378906,56.35295104980469,34.399742126464844,16.1299991607666
2015-12-31,171.874267578125,78.10035705566406,64.87555694580078,55.38532257080078,34.57325744628906,18.209999084472656
2016-01-31,163.31724548339844,73.97428131103516,62.40587615966797,52.829200744628906,34.0937614440918,20.200000762939453
2016-02-29,163.18228149414062,73.97428131103516,61.60921859741211,53.14656066894531,34.44925308227539,20.549999237060547
2016-03-31,174.15892028808594,79.3455810546875,64.87899017333984,56.28595733642578,36.4926872253418,13.949999809265137
2016-04-30,174.8453826904297,81.01583862304688,64.47071075439453,56.062923431396484,36.359771728515625,15.699999809265137
2016-05-31,177.81973266601562,82.20429992675781,66.05054473876953,56.66336441040039,36.93294906616211,14.1899995803833
2016-06-30,178.43785095214844,82.89490509033203,67.99982452392578,56.93760681152344,38.59069061279297,15.630000114440918
