lambda,model,sharpe,ann_return,ann_vol,cash_residual,nll_mean,run_id
2,naive_1n,1.2890803945084326,0.1765718987408631,0.1337473695231545,1.1102230246251563e-16,,20260923T161201Z
2,cash,17.205145996830822,0.0439378981245532,0.0025039135016592,1.0,,20260923T161201Z
2,persistence,1.3173000842910083,0.1875278523716992,0.1384807444393057,1.1102230246251563e-16,,20260923T161201Z
2,rolling_avg,1.2853391851637384,0.1852580848426253,0.1406156170650137,0.0,,20260923T161201Z
2,momentum,1.2577730877173876,0.1799662081842308,0.1400427354746639,0.0,,20260923T161201Z
2,ridge,1.2359549511718926,0.159747585455203,0.1269279983309458,0.2568941183565466,-11.405959259614042,20260923T161201Z
2,hmm_gaussian,0.9983859864772164,0.1056288841967416,0.1065502831094745,0.2346960527153186,-5.905856952859054,20260923T161201Z
5,naive_1n,1.2891019063448972,0.1765749330345238,0.1337471438170618,1.1102230246251563e-16,,20260923T161209Z
5,cash,17.205936345146565,0.0439378981245532,0.0025037984689667,1.0,,20260923T161209Z
5,persistence,1.3173320936572308,0.1875321431516829,0.1384800963330368,1.1102230246251563e-16,,20260923T161209Z
5,rolling_avg,1.285358354005355,0.185261081706785,0.1406155043366104,0.0,,20260923T161209Z
5,momentum,1.2577922172912763,0.1799691436706065,0.1400425970013259,0.0,,20260923T161209Z
5,ridge,1.1749596292058078,0.1323965800837414,0.1114753067038811,0.3616500449388877,-11.405962197144284,20260923T161209Z
5,hmm_gaussian,1.01925788349003,0.1056747248026817,0.1041759407254034,0.2346827115629646,-5.905885017823554,20260923T161209Z
10,naive_1n,1.2890809880452478,0.1765719031475849,0.1337473043368699,1.1102230246251563e-16,,20260923T161216Z
10,cash,17.200108291379266,0.043936517889314,0.0025045698169982,1.0,,20260923T161216Z
10,persistence,1.3173017859737846,0.187528050075834,0.1384806879973477,0.0,,20260923T161216Z
10,rolling_avg,1.2853393556570931,0.1852580560891923,0.1406155747840914,0.0,,20260923T161216Z
10,momentum,1.2577734520761257,0.1799661966314285,0.1400426811846856,0.0,,20260923T161216Z
10,ridge,1.1258547888878008,0.092809362543025,0.0820118113115835,0.5761024037459759,-11.405963472077518,20260923T161216Z
10,hmm_gaussian,1.019545930550901,0.1030884207859674,0.1015823888503668,0.2346974640016613,-5.905860949568581,20260923T161216Z
20,naive_1n,1.2890243408217985,0.1765638983644915,0.1337478869359908,1.1102230246251563e-16,,20260923T161222Z
20,cash,17.144023280171567,0.04392251708708,0.0025119792339821,1.0,,20260923T161222Z
20,persistence,1.3172100264828868,0.1875158350111836,0.1384826062852173,0.0,,20260923T161222Z
20,rolling_avg,1.2852979717774369,0.1852516517616673,0.1406158657383995,0.0,,20260923T161222Z
20,momentum,1.257729364732447,0.1799595255884554,0.1400430710512121,0.0,,20260923T161222Z
20,ridge,1.5460909270804388,0.0692867277283058,0.0440581301561796,0.7811691169886732,-11.405870518420995,20260923T161222Z
20,hmm_gaussian,1.041922815877125,0.0999794236996578,0.0961724719523606,0.2346879531033042,-5.905717349778196,20260923T161222Z
