min_train,n_states,model,sharpe,expected_utility,ann_return,ann_vol,cash_residual,nll_mean,pit_ks_p,run_id
60,2,naive_1n,0.908192668251436,0.0016521432493657,0.137818916468438,0.1562638649840363,2.220446049250313e-16,,,20260923T163725Z
60,2,cash,4.341583764214323,0.0021945867882407,0.0268275476800177,0.0061087443399219,1.0,,,20260923T163725Z
60,2,persistence,0.9220394784345024,0.0016588624450108,0.1430202887571796,0.1594371102701246,0.0,,,20260923T163725Z
60,2,rolling_avg,0.9504839535953254,0.002066815977515,0.147709430015325,0.1588750286279877,0.0,,,20260923T163725Z
60,2,momentum,0.9358469084286822,0.0018951084847775,0.1447064668459066,0.1584679243989198,0.0,,,20260923T163725Z
60,2,ridge,0.7084722605272595,0.0006979317572821,0.0861824438637826,0.1286770904991245,0.3637644105968661,-11.233049954702894,0.000373084640337,20260923T163725Z
60,2,hmm_gaussian,0.5952879406260514,0.0003476231212755,0.061940596982754,0.1115805167188894,0.2705886109732185,-5.0365526744605615,5.057677965186381e-08,20260923T163725Z
60,3,naive_1n,0.9081522312792802,0.0016516018521625,0.1378120413421599,0.1562641368437817,2.220446049250313e-16,,,20260923T163737Z
60,3,cash,4.341705959570568,0.0021946492413088,0.0268283155648818,0.0061087450352951,1.0,,,20260923T163737Z
60,3,persistence,0.9219841000081012,0.0016580674354566,0.1430112291840779,0.1594381672994612,0.0,,,20260923T163737Z
60,3,rolling_avg,0.9504439244323124,0.0020662792983987,0.1477023351162494,0.1588751547663146,0.0,,,20260923T163737Z
60,3,momentum,0.9358052903381204,0.0018945474057444,0.1446991962612929,0.1584681367910839,0.0,,,20260923T163737Z
60,3,ridge,0.7084519834836799,0.0006977261031277,0.0861794775881443,0.1286768460986522,0.3637644375395605,-11.233001677946636,0.0003730820547585,20260923T163737Z
60,3,hmm_gaussian,0.6656149245184586,0.0007446680098706,0.0740260934692547,0.1179738358503689,0.2058826500440052,-4.035863072167844,6.188831627067752e-12,20260923T163737Z
96,2,naive_1n,1.2891103274752846,0.0069144447076155,0.1765761136679142,0.133747050298896,1.1102230246251563e-16,,,20260923T163747Z
96,2,cash,17.254352016300835,0.0035883989969755,0.0439501651082068,0.0024974553863297,1.0,,,20260923T163747Z
96,2,persistence,1.3171311422127172,0.0072093737830285,0.1875052338504792,0.1384841834571631,1.1102230246251563e-16,,,20260923T163747Z
96,2,rolling_avg,1.2853653301527537,0.0068232251736459,0.1852621356610013,0.1406154362285936,0.0,,,20260923T163747Z
96,2,momentum,1.257782582960188,0.0065069573292335,0.1799676344289715,0.1400426429592104,0.0,,,20260923T163747Z
96,2,ridge,1.126157399854521,0.0048941267218592,0.0928399813341969,0.0820150739794842,0.5761028241670876,-11.405481896439737,0.000184006218608,20260923T163747Z
