model,rmse,mae,sharpe,ann_return,volatility,max_drawdown,calmar,win_rate
moe,33.67889863213415,13.698360832979143,1.4896863254894768,40.60694360717909,25.16246167379879,-13.733361048696501,2.9568103149107325,0.6904761904761905
rolling_avg,8.39277436126909,5.048103325804901,0.6221941931666308,9.031658481977223,16.039616075754463,-16.487401118884,0.5477915177081928,0.6428571428571429
momentum,8.278341062174189,5.0099674143687745,0.7252811398008451,11.899706964196755,17.737737434396067,-29.690053032553987,0.40079776722356103,0.6190476190476191
linear,192.32768591547625,63.08236475275239,0.5912446853682055,15.198732944061732,32.544587759537954,-26.207727014069647,0.5799332744843639,0.47619047619047616
rf,8.975882436528176,5.369724291045372,0.09151427933463872,-3.6955739030208323,36.7401869880388,-34.046566727690255,-0.10854468624042501,0.5952380952380952
persistence,12.788321356507291,7.516442203528315,-0.6147302553836813,-30.678127902466336,42.092266318333955,-72.70069572007148,-0.4219784638731676,0.5714285714285714
