model,rmse,mae,sharpe,ann_return,volatility,max_drawdown,calmar,win_rate
moe,63.9912273999493,24.398084754250128,0.7271347714796238,0.35620066821293705,66.02477285104855,-44.40612162376764,0.008021431622217747,0.6153846153846154
rolling_avg,12.361877272150162,6.827952148880315,0.06526720734706297,-6.08030761277536,41.45277550937839,-71.48609336154492,-0.08505581053399944,0.5897435897435898
momentum,12.314967374351246,6.819710129302267,0.12902926444628784,-2.9165258823697027,39.616043159805876,-66.22698904159857,-0.04403832824919417,0.6025641025641025
