model,rmse,mae,sharpe,ann_return,volatility,max_drawdown,calmar,win_rate
moe,9.803120876862298,6.43381014872621,1.8101874066927417,93.10394280013196,40.843624216518464,-7.068471080488663,13.171722956769235,0.6666666666666666
rolling_avg,9.56529941280912,6.2016895051397025,1.252438039393044,15.629447946580033,12.15062941914912,-3.499049421652304,4.466769703184007,0.5
momentum,9.14381657778373,5.952841582647324,2.00374267965013,47.06872782018736,20.396488689937563,-3.4524407464030578,13.633464345253758,0.6666666666666666
linear,16.968472427506317,10.381972301097733,-0.2876292337243399,-3.423056836794247,10.484518568511483,-5.183920437444549,-0.660322024248055,0.3333333333333333
rf,10.497545525972596,6.3683097635559465,-0.8286944286110413,-39.54425328402106,46.413135403471145,-29.814986391872655,-1.3263213594758014,0.6666666666666666
persistence,13.780124739091917,8.433558058992228,-0.08686422291470998,-21.09692671471447,60.93879692856159,-33.10891330832302,-0.6371977998266425,0.6666666666666666
