model,rmse,mae,sharpe,ann_return,volatility,max_drawdown,calmar,win_rate
moe,33.6789,13.6984,1.4897,40.6069,25.1625,-13.7334,2.9568,0.6905
rolling_avg,8.3928,5.0481,0.6222,9.0317,16.0396,-16.4874,0.5478,0.6429
momentum,8.2783,5.01,0.7253,11.8997,17.7377,-29.6901,0.4008,0.619
linear,192.3277,63.0824,0.5912,15.1987,32.5446,-26.2077,0.5799,0.4762
rf,8.9759,5.3697,0.0915,-3.6956,36.7402,-34.0466,-0.1085,0.5952
persistence,12.7883,7.5164,-0.6147,-30.6781,42.0923,-72.7007,-0.422,0.5714
