model,rmse,mae,sharpe,ann_return,volatility,max_drawdown,calmar,win_rate
persistence,14.2405,8.8248,0.1764,-7.1768,60.2504,-33.1089,-0.2168,0.8333
rolling_avg,10.6406,7.0028,1.4161,17.0814,11.5994,-2.8951,5.9001,0.5
momentum,10.2579,6.7594,2.1611,49.8704,19.765,-3.4524,14.445,0.6667
linear,16.3181,9.8488,1.2342,23.3824,18.2627,-5.1848,4.5098,0.5
rf,11.4731,7.1815,-0.7803,-38.1518,46.4466,-29.815,-1.2796,0.6667
moe,12.3251,7.4776,1.6575,84.6848,42.006,-7.0648,11.9869,0.6667
