model,rmse,mae,sharpe,ann_return,volatility,max_drawdown,calmar,win_rate
moe,63.9902,24.3975,0.7271,0.3562,66.0244,-44.4061,0.008,0.6154
rolling_avg,12.3619,6.828,0.0653,-6.0803,41.4528,-71.4861,-0.0851,0.5897
momentum,12.315,6.8197,0.129,-2.9165,39.616,-66.227,-0.044,0.6026
