Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2013-08-01,136.85198974609375,136.9722696168495,136.24253910493374,136.31471926338625,110438400
2013-08-02,137.0845489501953,137.1005903466056,136.36284517973638,136.5472784124536,91116700
2013-08-05,136.884033203125,137.09253458582708,136.6033761482519,136.7797947477706,54072700
2013-08-06,136.10618591308594,136.91611097285477,135.8014728999813,136.61940030125797,87495000
2013-08-07,135.6651611328125,135.8656357264496,135.1599734773258,135.6731879475968,84854700
2013-08-08,136.16233825683594,136.46705130036042,135.46467839245673,136.3066740822953,102181300
2013-08-09,135.76937866210938,136.40288507536582,135.29626167337037,135.98589459641178,91757700
2013-08-12,135.60902404785156,135.76940126307116,135.0236417061013,135.0877950393886,68593300
2013-08-13,136.0099639892578,136.24250910017176,135.04768852713698,135.84958678490372,80806000
2013-08-14,135.31234741210938,136.1623578022669,135.28026462229258,135.94584179700064,79829200
2013-08-15,133.41986083984375,134.26184437819077,133.18730344971087,134.24581521997368,152931800
2013-08-16,132.97886657714844,133.62038800214,132.71423853048927,133.16329985718235,130868200
2013-08-19,132.12881469726562,133.28355045505293,132.12078788150345,132.8264624525956,96437600
2013-08-20,132.77833557128906,133.27550865265232,132.20096775731957,132.34530359281283,89294400
2013-08-21,131.9604034423828,133.13919511121296,131.66370493934357,132.409464604604,159530500
2013-08-22,133.16326904296875,133.35572909673166,132.2250492233757,132.23306380378227,101471400
2013-08-23,133.61227416992188,133.7806781757617,132.9306680415118,133.5561476586389,90888900
2013-08-26,133.1151580810547,134.15762863370887,133.0269487519224,133.74865254591336,89702100
2013-08-27,130.97406005859375,133.1151272025071,130.87783617131606,131.80001438705477,158619400
2013-08-28,131.43919372558594,131.9042963509897,130.74956048598733,130.91795232863305,108113000
2013-08-29,131.6476287841797,132.3452763172794,131.0301637311628,131.15045580528064,119200500
2013-08-30,131.2306671142578,131.93634161558617,130.84575931171437,131.9203002216473,134928900
2013-09-03,131.8240966796875,132.77835787238436,131.27078474536745,132.49768849712046,142375100
2013-09-04,132.91464233398438,133.13917287759944,131.61557101221197,131.8561307118017,97389400
2013-09-05,133.08306884765625,133.4358938786728,132.89862339880784,132.99485953090235,63090500
2013-09-06,133.14723205566406,133.90101866286494,131.89627225477795,133.5241253592645,159756500
2013-09-09,134.42222595214844,134.50240844651975,133.47597952498268,133.47597952498268,87559300
2013-09-10,135.4165496826172,135.44060565054835,134.92739127469056,135.23211651647972,105847200
2013-09-11,135.84158325195312,135.84158325195312,134.99959972579515,135.23214487656293,94545900
2013-09-12,135.480712890625,135.96987133422925,135.29627971103557,135.7934527325361,83209000
2013-09-13,135.7854461669922,135.88969686577974,135.3123290872599,135.625068947625,72727800
2013-09-16,136.57130432128906,137.31707614017316,136.3547883434198,137.2529228046564,106299200
2013-09-17,137.1807861328125,137.21285668987593,136.69162754459236,136.69162754459236,82523300
2013-09-18,138.76853942871094,139.1454327068184,136.78784913261433,137.1326596182019,203460600
2013-09-19,138.53598022460938,139.209584262849,138.39965894815614,139.1454309146357,146616900
2013-09-20,137.56741333007812,138.86476348145015,137.45460080803025,138.86476348145015,132867100
2013-09-23,136.93080139160156,137.5109835160245,136.49567094610495,137.3820637183181,104616500
2013-09-24,136.6084442138672,137.41425112236433,136.35059239687968,136.9065888354071,106333100
2013-09-25,136.21363830566406,136.9710990110926,136.09277214868786,136.69712752485214,117306500
2013-09-26,136.7373809814453,137.12416486807197,136.22166503406373,136.4392363496329,77146900
2013-09-27,136.10885620117188,136.2941883586983,135.75429917241632,136.05244381221604,99141800
2013-09-30,135.38363647460938,135.81071322250722,134.69064192781744,134.95655972671153,143937000
2013-10-01,136.45541381835938,136.5843459454277,135.35146168249221,135.48844745663567,127160000
2013-10-02,136.32643127441406,136.45536335380012,135.2385991306487,135.6576222408335,113350000
2013-10-03,135.06935119628906,136.1330222262991,134.4408227860605,136.01214381163192,176698000
2013-10-04,136.0927734375,136.22975918191753,134.99687518651817,135.17415374885655,96878000
2013-10-07,134.9163055419922,135.73823240156005,134.771266135056,134.90825189571012,96295000
2013-10-08,133.34498596191406,135.0694130584739,133.24829302240485,134.89213447227812,178015000
2013-10-09,133.44163513183594,133.92511192189352,132.57941579799402,133.60279406185512,168973000
2013-10-10,136.318359375,136.3908790490781,134.75509193480124,134.80343838418665,195955000
2013-10-11,137.1967010498047,137.24505980013518,135.99605643951446,136.10886893233985,105040000
2013-10-14,137.74468994140625,137.85750246184435,136.24588800093287,136.35064687549774,112106000
2013-10-15,136.7454833984375,137.91390141363706,136.56015117977225,137.3981852823111,155485000
2013-10-16,138.6552276611328,138.7277473460735,137.50291716374628,137.56738320446246,161676000
2013-10-17,139.58189392089844,139.66247954169273,138.0669727785694,138.0911460056798,129389000
2013-10-18,140.524658203125,140.62135109198235,139.8155442298059,140.09758154982245,138316000
2013-10-21,140.53277587890625,140.8148133274328,140.21851155128874,140.57306869950185,104104000
2013-10-22,141.34654235839844,141.76555294851536,140.55684301686284,140.9436390478476,126663000
2013-10-23,140.66976928710938,140.92762119825755,140.17822640160222,140.86315514655996,105484000
2013-10-24,141.1370391845703,141.314317642972,140.62132338621126,140.95170708556296,70350000
2013-10-25,141.78175354003906,141.82204635324476,141.15322500007932,141.42719645685352,93625000
2013-10-28,142.00738525390625,142.200783389054,141.58030846414073,141.73341378417757,84979000
2013-10-29,142.7648468017578,142.82125920239216,142.12826458335297,142.3297163645197,87401000
2013-10-30,142.0557098388672,143.03879535711312,141.5480597926929,142.9340488087236,140002000
2013-10-31,141.65280151367188,142.5391940968464,141.4432961283936,141.9428925140164,133795000
2013-11-01,141.9912567138672,142.31357459523426,141.19350335837098,141.83815141674415,142805000
2013-11-04,142.4908905029297,142.54729061392862,141.8059494557731,142.37807798528954,85677000
2013-11-05,142.0396728515625,142.42645695808815,141.47561013461987,141.93491395568563,85825000
2013-11-06,142.7648468017578,143.0307646283748,142.25718437861258,142.6520342961301,87348000
2013-11-07,140.9598388671875,143.14358165407327,140.82285312714544,143.03076914488324,157000000
2013-11-08,142.86160278320312,142.87772237559133,140.89544285946405,140.9115501562059,136713000
2013-11-11,142.88571166992188,143.05492426446332,142.55532782924982,142.72454042379127,62614000
2013-11-12,142.59567260742188,142.91799062586702,142.12023693109555,142.57955301780635,83990000
2013-11-13,143.7398681640625,143.78014868079342,141.89456309997814,141.89456309997814,103844000
2013-11-14,144.45706176757812,144.57792793064394,143.63513497180398,143.86881365227862,103435000
2013-11-15,145.08558654785156,145.14198665723475,144.5054043892828,144.69073659960168,102818000
2013-11-18,144.57789611816406,145.4481691876723,144.2555782238156,145.3273030512015,104796000
2013-11-19,144.263671875,144.94054701822694,144.0138735932598,144.50541651062187,93891000
2013-11-20,143.8123779296875,144.988849277677,143.41752806871065,144.55371890274753,124909000
2013-11-21,144.97274780273438,145.08556029673085,144.1266479499409,144.21528721634095,92841000
2013-11-22,145.6979522705078,145.7140718522432,144.8599184548416,145.02913102832926,81296000
2013-11-25,145.55287170410156,145.98800192263064,145.3433540877876,145.95577506392414,79486000
2013-11-26,145.59324645996094,146.02838925583416,145.37568735766703,145.6254856351737,86994000
2013-11-27,145.94776916503906,146.04447437220907,145.56903886735944,145.74631740225797,58800000
2013-11-29,145.85110473632812,146.45546014269414,145.68994575375896,146.10896894495255,55870900
2013-12-02,145.47239685058594,146.1976185320669,145.24677178098545,145.9236469897869,99726000
2013-12-03,144.8438262939453,145.35954234636517,144.376456700246,144.9969316103207,116563000
2013-12-04,144.8277130126953,145.43206836428718,143.71570752680222,144.32006287839408,123033000
2013-12-05,144.1910858154297,144.83573378186966,144.05410012060224,144.56981603462677,106934000
2013-12-06,145.80270385742188,145.93968955626457,145.16610951473427,145.5851325495481,127728000
2013-12-09,146.17340087890625,146.3909722354961,145.98001504695117,146.22981327698673,70124000
2013-12-10,145.64956665039062,146.14110924820076,145.56092741814177,145.83489875577104,80976000
2013-12-11,144.0138397216797,145.73021270570257,143.83656118362848,145.70603947739014,130591000
2013-12-12,143.53848266601562,144.12671865215714,143.24032555333102,143.94944003239192,115565000
2013-12-13,143.52227783203125,143.9654741182159,143.24830641716744,143.83654205393702,107808000
2013-12-16,144.41676330566406,144.8921865893378,144.15889910700875,144.19919192500387,96195000
2013-12-17,143.95738220214844,144.5698032491418,143.63506439525227,144.5456300284064,89886000
2013-12-18,146.41514587402344,146.43931910308544,142.88571917892682,144.17500314624834,234906000
2013-12-19,146.24594116210938,146.4151537746742,145.61741258130075,145.99613062225475,136531200
2013-12-20,147.09661865234375,147.44500328563038,146.2945465112687,146.3917643799095,197087000
2013-12-23,147.88247680664062,147.97159729542506,147.50980011710044,147.81766078185262,85598000
2013-12-24,148.20657348632812,148.27138952376308,147.8825056615485,147.89060303032971,45368800
2013-12-26,148.96005249023438,149.04107562946845,148.52255968059828,148.53875441852878,63365000
2013-12-27,148.95201110839844,149.21936037109063,148.79807450343017,149.15455667021982,61814000
2013-12-30,148.92764282226562,149.08967672981967,148.73319471576394,148.9681420273581,56857000
2013-12-31,149.63250732421875,149.63250732421875,149.01676112616758,149.1301984678259,86119900
2014-01-02,148.19842529296875,149.13014160386993,147.8419433905294,149.05721586026854,119636900
2014-01-03,148.17416381835938,148.74939839369858,147.9635209796238,148.4496226911046,81390600
2014-01-06,147.74473571777344,148.71695128800147,147.51788583013328,148.6602449972873,108028200
2014-01-07,148.65216064453125,148.90331503712193,148.2227652580258,148.33619022120848,86144200
2014-01-08,148.68458557128906,148.93573998200495,148.17416701893444,148.62786690440757,96582300
2014-01-09,148.78179931640625,149.17879288638107,148.10124950707313,149.16258578737953,90683400
2014-01-10,149.1868896484375,149.25170568178598,148.27138017568237,149.03295311453414,102026400
2014-01-13,147.2019805908203,149.21932601008743,146.91841192460825,148.80613760958147,149892000
2014-01-14,148.80613708496094,148.8871602357065,147.4126229564378,147.68808188913727,105016100
2014-01-15,149.60821533203125,149.8350653094763,148.8385448826715,149.15451537714114,98525800
2014-01-16,149.4137725830078,149.60822072599845,148.93576813918583,149.30034759019586,72290600
2014-01-17,148.78179931640625,149.4380446584342,148.5225475443531,149.15448841907593,107848700
2014-01-21,149.21929931640625,149.697316042143,148.30380215799119,149.64059737408806,88621200
2014-01-22,149.31649780273438,149.53525033495393,149.00052741725827,149.47043431198546,61270900
2014-01-23,148.0931396484375,148.58735108720603,147.30727460225907,148.56304661992186,132496900
2014-01-24,144.9334259033203,147.1776330157601,144.884816971896,147.12902408433578,208677100
2014-01-27,144.22052001953125,145.4439029775294,143.4994584007847,145.07121374920715,180843100
