Price,Close,High,Low,Open,Volume
Ticker,IWD,IWD,IWD,IWD,IWD
Date,,,,,
2013-08-01,67.07609558105469,67.15158806640413,66.78922183284381,66.84961812500634,1219500
2013-08-02,67.0685043334961,67.10625343335819,66.79673270136415,66.97791570935344,1601900
2013-08-05,66.99301147460938,67.09870204191765,66.84202659551298,67.00056244647539,984700
2013-08-06,66.54759979248047,66.92506773712334,66.43435825714685,66.87976766716766,2490400
2013-08-07,66.32112884521484,66.4041722689928,66.09465149285165,66.30603265893922,843600
2013-08-08,66.51742553710938,66.74390868905549,66.18525178350997,66.64576330201612,937900
2013-08-09,66.35887908935547,66.65330368427408,66.13994694652023,66.47212064733299,1980300
2013-08-12,66.26074981689453,66.35134423722872,66.0040742655071,66.05691957077548,958000
2013-08-13,66.38908386230469,66.54761975544788,66.01161580442887,66.44192916001909,960700
2013-08-14,66.10975646972656,66.48722453356187,66.10975646972656,66.34378482619867,1141800
2013-08-15,65.2491455078125,65.59641551926961,65.13590390936395,65.5737683515213,1009800
2013-08-16,64.98490142822266,65.33972231982165,64.84146172488552,65.16608448106061,1545900
2013-08-19,64.41117095947266,65.01512236030698,64.41117095947266,64.90943172911707,1038500
2013-08-20,64.81881713867188,64.99244922462638,64.37340182310366,64.5092905580577,1186400
2013-08-21,64.36582946777344,64.90183320749212,64.19219169533064,64.58476154619991,1297400
2013-08-22,64.8943099975586,64.9924496224072,64.4564456533928,64.49419476432993,1612100
2013-08-23,65.10567474365234,65.16607100200767,64.73575774070832,65.01508611582356,886600
2013-08-26,64.79618835449219,65.27934715810083,64.73579206411429,65.21139989149889,878500
2013-08-27,63.74681854248047,64.3885132005163,63.70906942624628,64.16958099771226,1194700
2013-08-28,63.97328186035156,64.20731596194817,63.5882686062151,63.70150441054629,891700
2013-08-29,63.93552780151367,64.3129957785972,63.76944097004424,63.82983722870662,2188800
2013-08-30,63.76945495605469,64.08652674401648,63.54297181625025,64.08652674401648,2111900
2013-09-03,63.9279899597168,64.52439017717064,63.67130868753286,64.45644293229341,1610500
2013-09-04,64.4791030883789,64.61498607396882,63.875151829351,63.98084243572497,917800
2013-09-05,64.56967163085938,64.73575846333841,64.47908300201938,64.56967163085938,678300
2013-09-06,64.6074447631836,64.97736190784624,64.04124258351965,64.77353165743804,2675800
2013-09-09,65.2340316772461,65.27177502671888,64.73577108268,64.73577108268,772700
2013-09-10,65.73983001708984,65.77002814906045,65.50579593424376,65.67188278022978,979700
2013-09-11,65.92100524902344,65.9285562210488,65.5586334679589,65.7398222383432,817600
2013-09-12,65.65677642822266,65.98139909701334,65.56618204633787,65.92855381417317,1055000
2013-09-13,65.83795928955078,65.88325360054306,65.65677628587787,65.71717254033678,1611700
2013-09-16,66.26074981689453,66.600474573368,66.15505920635779,66.600474573368,1244600
2013-09-17,66.47968292236328,66.5174320379455,66.3211470043894,66.32869797944713,1871100
2013-09-18,67.21952819824219,67.45355660589065,66.2532106650664,66.44194473825564,1944100
2013-09-19,67.00813293457031,67.43844630099886,66.93264047303481,67.43844630099886,2174100
2013-09-20,66.47968292236328,67.14403049448966,66.43438859142971,67.11383235396515,3409000
2013-09-23,66.18524169921875,66.41927578982609,65.98141150128842,66.3513285507127,3011700
2013-09-24,66.01836395263672,66.42799255744053,65.927339232079,66.10939446062581,1700800
2013-09-25,65.99559020996094,66.29901936841225,65.88180355211297,66.07144605271631,1212200
2013-09-26,66.04115295410156,66.35216967039406,65.81358525217864,66.11701464217677,755300
2013-09-27,65.79077911376953,65.85146031575388,65.64664896076826,65.69974862964823,1098600
2013-09-30,65.38874053955078,65.57080153115378,65.07014248539144,65.21427265688615,3390500
2013-10-01,65.86666107177734,65.98802931129624,65.40393272203276,65.4722012716186,1650900
2013-10-02,65.86666107177734,65.90458611462543,65.34324570855723,65.47978859516108,1559900
2013-10-03,65.29771423339844,65.71492430722766,64.9942850422487,65.69216813069177,1116800
2013-10-04,65.7225112915039,65.80595446332792,65.27495772211185,65.47218177603186,3018700
2013-10-07,65.21427917480469,65.58597694180703,65.12324866990504,65.19910453027249,1118200
2013-10-08,64.53916931152344,65.32049587683905,64.5315819872432,65.1687841158306,1586200
