,Regime_1,Regime_2,Regime_3,Regime_4,dominant_regime,dominant_prob
2015-01-31,0.4103648809906366,0.11031446998894841,0.06412823105720147,0.4151924179632135,4,0.4151924179632135
2015-02-28,0.10888898012210489,0.16470642089210252,0.025910722272899343,0.7004938767128932,4,0.7004938767128932
2015-03-31,0.14510624803386854,0.09212936162206561,0.12098483841786324,0.6417795519262026,4,0.6417795519262026
2015-04-30,0.2822234982415702,0.2468700991586595,0.07515962936221239,0.3957467732375579,4,0.3957467732375579
2015-05-31,0.27704155206968417,0.08846055797243574,0.054587724674519555,0.5799101652833606,4,0.5799101652833606
2015-06-30,0.2378416823503043,0.17675932757251953,0.13109092989664128,0.4543080601805349,4,0.4543080601805349
2015-07-31,0.3833082928104438,0.21049079840888152,0.033010374074663104,0.37319053470601143,1,0.3833082928104438
2015-08-31,0.184592831043349,0.18081274633739208,0.07271123816825834,0.5618831844510006,4,0.5618831844510006
2015-09-30,0.681695570275621,0.08479812783119688,0.09725289398396408,0.1362534079092181,1,0.681695570275621
2015-10-31,0.2812853490863282,0.17372180240799975,0.030340281939012937,0.5146525665666591,4,0.5146525665666591
2015-11-30,0.11779855902230515,0.07973451774081963,0.07441899108346711,0.7280479321534081,4,0.7280479321534081
2015-12-31,0.470175768795161,0.1837282453027515,0.15709827497620774,0.18899771092587989,1,0.470175768795161
2016-01-31,0.4888836033891853,0.10828810138476266,0.017221026239711883,0.3856072689863401,1,0.4888836033891853
2016-02-29,0.3571005570046074,0.1075888307527046,0.0559448916275863,0.47936572061510163,4,0.47936572061510163
2016-03-31,0.4678283519200035,0.1389548987264915,0.03863883835528505,0.35457791099822006,1,0.4678283519200035
2016-04-30,0.22551944549171768,0.26642501914070443,0.09817455047500095,0.40988098489257696,4,0.40988098489257696
2016-05-31,0.5215269759606765,0.11551985769603118,0.10683081077853049,0.25612235556476176,1,0.5215269759606765
2016-06-30,0.4679315067349862,0.09915091203243624,0.10519008433359545,0.3277274968989822,1,0.4679315067349862
2016-07-31,0.3487622338877643,0.19286581350321752,0.04501766028565338,0.41335429232336485,4,0.41335429232336485
2016-08-31,0.46155308281965607,0.10669590077572078,0.06953050349704828,0.36222051290757495,1,0.46155308281965607
2016-09-30,0.4130759611205471,0.11180952176716936,0.17790058942896952,0.297213927683314,1,0.4130759611205471
2016-10-31,0.3423726418342135,0.23502410941735008,0.10197241795117956,0.3206308307972568,1,0.3423726418342135
2016-11-30,0.4239864878171166,0.1680879910124448,0.24792447383987437,0.16000104733056422,1,0.4239864878171166
2016-12-31,0.3160470205992378,0.2311596208913083,0.1526809607820018,0.3001123977274521,1,0.3160470205992378
2017-01-31,0.29159937372522887,0.3076775234933069,0.11087049184835705,0.2898526109331072,2,0.3076775234933069
2017-02-28,0.394406081722608,0.23026517267776353,0.07766598367186432,0.29766276192776403,1,0.394406081722608
2017-03-31,0.32212471490334466,0.24953006959880628,0.16551630463701184,0.2628289108608373,1,0.32212471490334466
2017-04-30,0.4350964027603369,0.20651084129238734,0.07423851967360677,0.284154236273669,1,0.4350964027603369
2017-05-31,0.3682506623434057,0.18146392235479397,0.07808994166937289,0.37219547363242744,4,0.37219547363242744
2017-06-30,0.27148305932128414,0.28204450821017824,0.11591818234830784,0.3305542501202298,4,0.3305542501202298
2017-07-31,0.32629160230087345,0.21877219321748154,0.09031622520018688,0.3646199792814582,4,0.3646199792814582
2017-08-31,0.3039256374847208,0.21533793591798425,0.12481958026806844,0.3559168463292265,4,0.3559168463292265
2017-09-30,0.3357218818752865,0.1677728851995371,0.11116068824781239,0.38534454467736406,4,0.38534454467736406
2017-10-31,0.3695856777058198,0.19512696452330835,0.14791347159455062,0.28737388617632115,1,0.3695856777058198
2017-11-30,0.2363813378520002,0.2200423028803811,0.1259409522545794,0.4176354070130392,4,0.4176354070130392
2017-12-31,0.2355544498263474,0.1517586933783238,0.25547839709532655,0.35720845970000226,4,0.35720845970000226
2018-01-31,0.14413341047203204,0.19058588080577055,0.29396409971298715,0.37131660900921026,4,0.37131660900921026
2018-02-28,0.15352866751006453,0.19780422688148372,0.3498523754291767,0.29881473017927507,3,0.3498523754291767
2018-03-31,0.2395459598368203,0.20470040731468428,0.3774204965536414,0.1783331362948539,3,0.3774204965536414
2018-04-30,0.154829303657699,0.16921638700560912,0.1780871565660513,0.49786715277064064,4,0.49786715277064064
2018-05-31,0.08726647926695645,0.25064352273118884,0.32369386438398334,0.3383961336178714,4,0.3383961336178714
2018-06-30,0.16635376378725183,0.2787450704794138,0.2927165619937617,0.2621846037395727,3,0.2927165619937617
2018-07-31,0.1325039232583784,0.17947329937862072,0.33938206929285236,0.3486407080701485,4,0.3486407080701485
2018-08-31,0.16490139750664948,0.1528569396155742,0.28070467698603496,0.40153698589174147,4,0.40153698589174147
2018-09-30,0.12396494195032286,0.33765272406013613,0.19828059890297445,0.3401017350865665,4,0.3401017350865665
2018-10-31,0.14144804631494273,0.23917150330196993,0.298767678118863,0.32061277226422435,4,0.32061277226422435
2018-11-30,0.16838945712597142,0.2317375736525118,0.436656042180738,0.16321692704077884,3,0.436656042180738
